format	extensions	description	tags	encoding	links	apps
!UT	!ut	partially completed downloads in uTorrent	partial-file, incomplete-transfer			uTorrent
(Edited) Challenge files.	challenge.gbx		video-game-data, trackmania			TrackMania
3-D wireframe graphics	3dv	By Oscar Garcia	vector-graphics			
3D Markup Language for Web	3dmlw	3D Markup Language for Web files	CAD			
3D Topicscape Database	3dt	The database in which the meta-data of a 3D Topicscape is held. A 3D Topicscape is a form of 3D concept map (like a 3D mind-map) used to organize ideas, information and computer files.	gio			
3D Topicscape file	aty	Produced when an association type is exported by 3D Topicscape. Used to permit round-trip (export Topicscape, change files and folders as desired, re-import them to 3D Topicscape	gio			
3D Topicscape file	fes	Produced when a fileless occurrence in 3D Topicscape is exported to Windows. Used to permit round-trip (export Topicscape, change files and folders as desired, re-import them to 3D Topicscape	gio			
3D Topicscape file	tpc	Produced when an inter-Topicscape topic link file is exported to Windows. Used to permit round-trip (export Topicscape, change files and folders as desired, re-import them to 3D Topicscape).	gio			
3GP	3gp	The most common video format for cell phones	video			
4D database Data file	4dd		database			
4D database Data Index file	4dindx		database			
4D database Data resource file (in old 4D versions)	4dr		database			
4D database Structure file	4db		database			
4D database Structure Index file	4dindy		database			
7-Zip compressed file	7z		archive, compression	binary		
880K diskette images	adf		video-game-storage-media			Amiga
A file 	a	A very confusing file that only a few set of programs can make a good use out of.		text		The Binding of Isaac: Rebirth
a file format used by old versions of Microsoft Paint. Replaced with BMP in Microsoft Windows 3.0	msp		raster-graphic, image			
a lossless format used by ZSoft's PC Paint, popular at one time on DOS systems.	pcx		raster-graphic, image			
A lump is an entry in a DOOM wad.	lmp		video-game-data			DOOM
a run-length encoded image	rle		raster-graphic, image			
A U.S. Government standard commonly used in Intelligence systems	nitf		raster-graphic, image			
AAF	aaf	Mostly intended to hold edit decisions and rendering information, but can also contain compressed media essence	video			
Ability Draw	awg		vector-graphics			
Ability Spreadsheet	aws		spreadsheet			
Ability Write	aww		document			
AbiWord Document	abw		document			
Ableton Live clip	alc		audio-editing, music-production			
Ableton Live set	als		audio-editing, music-production			
Abstract Syntax Notation One	asn, asn.1	Is an International Standards Organization (ISO) data representation format used to achieve interoperability between platforms. NCBI uses ASN.1 for the storage and retrieval of data such as nucleotide and protein sequences, structures, genomes, and PubMed records.	biology, molecular-biology			
Abykus workbook	ab3		spreadsheet			
Abykus worksheet	ab2		spreadsheet			
AC3D Model	ac		3d-graphics			
ACE compressed file	ace		archive, compression	binary		
AcqKnowledge File Format	acq	For Windows/PC from Biopac Systems Inc., Goleta, CA, USA.	biomedical-signals			
AcqKnowledge File Format	acq	For Windows/PC from Biopac	signal-data			
ActionScript	as	Adobe Flash ActionScript File	script			
Ada (body) source	ada, adb, 2.ada		code			
Ada (specification) source	ads, 1.ada		code			
Add-in file for Microsoft Access	mda		database			
Additive Manufacturing File Format	amf		CAD			
Additive Manufacturing File Format	amf		vector-graphics			
Additive Manufacturing File Format	amf		3d-graphics			
Adobe Acrobat or Adobe Reader	pdf		desktop-publishing			
Adobe Audition multitrack session file	ses		audio-editing, music-production			
Adobe Binary Screen Font	abf		font			
Adobe Color Table. Contains a raw color palette and consists of 256 24-bit RGB colour values.	act		color-palettes			
Adobe Flash shared object	sol	Also called Flash cookie	video			
Adobe Font Metrics	afm		font			
Adobe Font Metrics	afm		font			Adobe
Adobe FrameMaker	fm		desktop-publishing			
Adobe Illustrator	ai		desktop-publishing			
Adobe Illustrator Document	ai		vector-graphics			
Adobe InDesign	indd		desktop-publishing			
Adobe JavaScript language	jsfl	By Adobe	script			
Adobe PageMaker	pmd		desktop-publishing			
Adobe Photoshop	psd		desktop-publishing			
Adobe Photoshop Big image file	psb	For large files	raster-graphic, image			
Adobe Photoshop Drawing	psd, pdd		raster-graphic, image			
Adobe PRC	prc	embedded in PDF files	3d-graphics			
Adobe Premiere Pro video editing file	ppj, prproj		video-editing			
Adobe Swatch	ase		raster-graphic, image			
Advanced Audio Coding	aac		archive, compression	binary		
Advanced Audio Coding	m4a, mp4, m4p, aac	Usually in an MPEG-4 container	audio, music, sound, lossy			
Advanced Function Presentation	afp	IBc	document			
Advanced Stream Redirector	asx		playlists			
Advanced Systems Format	asf		audio, music			
Advanced Video Codec High Definition	avchd		video			
ADZ	adz	The GZip-compressed version of ADF.	physical, recordable media, archiving	binary		
Aegisub subtitle file	ass, sas	A subtitles file created by Aegisub, a video typesetting application (Also a Halo game engine file)	archive, compression	binary		
AFNI data, meta-data	brik, head		biomedical-imaging			
AGTEK format	esw		CAD			
AIMP Playlist format	aimppl		playlists			
Akai MPC sound file	snd		audio-editing, music-production			
Alembic	abc	Computer graphics	3d-graphics			
Alias		Mac OS	links-and-shortcuts			
ALZip compressed file	alz		archive, compression	binary		
America Online proprietary format	art		raster-graphic, image			
American National Standards Institute Text	ans	Also called ANSI text	document			
Amiga Disk Format	adf	For archiving Amiga floppy disks	physical, recordable media, archiving	binary		
Amigaguide	amigaguide		document			
AMR	amr	For GSM and UMTS based mobile phones	audio, music, sound, lossy			
An Apple Numbers Spreadsheet file	numbers		spreadsheet			
Analog waveform format	fsdb	See also Waveform viewer	EDA			
Analyze data, meta-data 	img, hdr		biomedical-imaging			
Android Package	apk		executable-files			
Anim8or Model	an8		3d-graphics			
Animated Cursor	ani		cursors			
Animated GIF	gif	Simple animated image format. Until recently often avoided because of patent problems.	video			
Animated Network Graphics	mng	Mainly simple animation containing PNG and JPEG objects, often somewhat more complex than animated GIF	video			
Animations format	uax		video-game-data			Unreal Engine, Unreal Engine 2
AOLserver Dynamic Page	adp		webpage, dynamically generated			
Apcera Policy Language doclet	pol		code			
Apple IMovie for IOS users	imoviemobile		video-editing			
Apple iOS application executable file	ipa	Another form of zip file.	executable-files			
Apple Keynote Presentation	key, keynote		presentation			
Apple Lossless	m4a		audio, music, sound, lossless, compressed			
Apple Macintosh PICT image	pict, pct		raster-graphic, image			
Apple Motion project file	motn		video-editing			
Apple Pages document	pages		document			
AppleScript	applescript, scpt, scptd		script			
Applications installable on Android	apk		archive, compression	binary		
Applied Biosystems 1	ab1	Chromatogram files used by instruments from Applied Biosystems in DNA sequencing	biology, molecular-biology			
Aquafadas	ave / zave		desktop-publishing			
ARC	arc		archive, compression	binary		
ARC/INFO interchange file format	e00		gis			
ArchiCad project	pln		CAD			
Archive compression	map		video-game-data			Halo, Combat Evolved, Doom 3
ARJ compressed file	arj		archive, compression	binary		
Art of Illusion Model	aoi		3d-graphics			
ArtCAM model	art		CAD			
ArtCAM Relief	rlf		CAD			
ASCII Drawing Interchange file format	dxf		CAD			
ASCII nebo Unicode plaintext Text file	txt		document			
ASCII point of interest (POI) text file	asc		gis			
ASCII text	asc		document			
ASCII-coded binary format for memory dumps	hex		EDA			
ASF Container	asf	Enables any form of compression to be used. MPEG-4 is common. Video in ASF-containers is also called Windows Media Video (WMV))	video			
Ashlar-Vellum Argon 3D Modeling	ar		CAD			
Ashlar-Vellum Cobalt	co	parametric drafting and 3D modeling	CAD			
Ashlar-Vellum Graphite	vc6	For 2D and 3D drafting	CAD			
Ashlar-Vellum Vellum Solids	vs		CAD			
Ashlar-Vellum Vellum, Vellum 2D, Vellum Draft, Vellum 3D, DrawingBoard	vlm		CAD			
Ashlar-Vellum Xenon	xe	For Associative 3D Modeling	CAD			
ASP	asp	Microsoft Active Server Page	webpage, dynamically generated			
ASPX	aspx	Microsoft Active Server Page. NET	webpage, dynamically generated			
Assembly language source	asm, s		code			
Assisted contact lists file format	xmc, xml	Assisted contact lists file format, based on xml and used in kindergartens and schools	web			
Atari Jaguar	jag,j64		video-game-storage-media			
Atari ST/Amstrad CPC YM2149 sound chip format	ym		audio, music			
Atom	atom, xml	Another syndication file format	markup-language			
AU	au		audio, music, sound, lossless, uncompressed			
Audacity project file	aup		audio, music			
Audacity project file	aup		audio-editing, music-production			
Audio Interchange File Format	aif, aifc, aiff		audio, music, sound, lossless, uncompressed			
Audio Stream	ast		audio, music, sound, lossless, compressed			
